episode,reward,steps,delivered,total_time_hours,total_cost,total_risk,path,shipment_type,wall_clock_s,phase
21,-57.87,4,False,243.7,56692.0,0.757,Vadodara -> Ahmedabad -> Jaipur -> Indore -> Bhopal,pharmaceuticals,3.6,1
22,-12.68,5,False,59.3,43579.0,0.892,Amritsar -> Ludhiana -> Delhi -> Jaipur -> Indore -> Bhopal,pharmaceuticals,3.8,1
23,-61.23,5,False,245.7,50153.0,0.302,Jodhpur -> Udaipur -> Indore -> Jaipur -> Jodhpur -> Udaipur,textiles,3.9,1
24,-61.25,5,False,283.6,76631.0,0.416,Bhopal -> Jabalpur -> Nagpur -> Mumbai -> Ahmedabad -> Rajkot,fmcg,4.1,1
25,-42.55,5,False,104.2,34165.0,0.878,Delhi -> Chandigarh -> Ludhiana -> Amritsar -> Ludhiana -> Delhi,perishables,4.2,1
26,-40.38,5,False,87.4,47605.0,0.426,Ludhiana -> Delhi -> Chandigarh -> Ludhiana -> Delhi -> Lucknow,fmcg,4.4,1
27,-41.92,5,False,151.9,50550.0,0.445,Vadodara -> Ahmedabad -> Nashik -> Mumbai -> Nagpur -> Raipur,fmcg,4.6,1
28,-56.66,5,False,199.3,42852.0,0.905,Nagpur -> Jabalpur -> Raipur -> Nagpur -> Jabalpur -> Bhopal,electronics,4.7,1
29,-46.69,5,False,193.3,61576.0,1.028,Udaipur -> Ahmedabad -> Jaipur -> Jodhpur -> Udaipur -> Ahmedabad,machinery,4.9,1
30,-50.79,5,False,272.9,106389.0,0.619,Nashik -> Mumbai -> Pune -> Bangalore -> Chennai -> Visakhapatnam,machinery,5.1,1
31,-22.14,5,False,53.2,55093.0,0.332,Lucknow -> Kanpur -> Varanasi -> Patna -> Kolkata -> Guwahati,electronics,5.3,1
32,-67.35,5,False,440.8,64661.0,2.659,Kochi -> Coimbatore -> Bangalore -> Kochi -> Coimbatore -> Chennai,electronics,5.4,1
33,-46.28,5,False,233.4,82405.0,0.929,Coimbatore -> Kochi -> Bangalore -> Chennai -> Madurai -> Mysore,machinery,5.6,1
34,-46.98,5,False,192.5,81144.0,0.592,Visakhapatnam -> Chennai -> Coimbatore -> Madurai -> Mysore -> Mangalore,machinery,5.7,1
35,-27.27,5,False,198.5,68739.0,0.719,Thiruvananthapuram -> Kochi -> Bangalore -> Hyderabad -> Nagpur -> Raipur,machinery,5.9,1
36,-54.37,5,False,319.5,70632.0,0.607,Vadodara -> Ahmedabad -> Jaipur -> Indore -> Udaipur -> Ahmedabad,textiles,6.1,1
37,50.66,2,True,65.0,24276.0,0.221,Mysore -> Madurai -> Chennai,fmcg,6.1,1
38,-51.58,5,False,97.3,57388.0,0.27,Pune -> Nashik -> Ahmedabad -> Jaipur -> Delhi -> Ludhiana,fmcg,6.3,1
39,-77.3,3,False,379.6,47894.0,1.509,Visakhapatnam -> Bhubaneswar -> Ranchi -> Kolkata,pharmaceuticals,6.4,1
40,-85.73,3,False,332.4,25937.0,0.87,Kochi -> Coimbatore -> Bangalore -> Hubli,perishables,6.6,1
41,-33.97,5,False,72.6,47601.0,0.565,Raipur -> Jabalpur -> Nagpur -> Raipur -> Jabalpur -> Bhopal,perishables,6.8,1
42,49.26,3,True,110.5,51011.0,0.326,Kochi -> Coimbatore -> Chennai -> Visakhapatnam,fmcg,6.9,1
43,56.3,2,True,12.7,11366.0,0.168,Gwalior -> Agra -> Kanpur,electronics,7.0,1
44,-95.56,5,False,271.8,50675.0,1.184,Ahmedabad -> Vadodara -> Surat -> Rajkot -> Ahmedabad -> Mumbai,perishables,7.2,1
45,-36.35,5,False,140.2,72487.0,0.315,Patna -> Lucknow -> Agra -> Kanpur -> Delhi -> Ludhiana,textiles,7.4,1
46,-45.66,5,False,184.1,66199.0,0.514,Visakhapatnam -> Hyderabad -> Nagpur -> Raipur -> Bhubaneswar -> Visakhapatnam,electronics,7.5,1
47,-37.22,5,False,109.1,39648.0,0.245,Rajkot -> Surat -> Vadodara -> Ahmedabad -> Rajkot -> Surat,textiles,7.7,1
48,-72.2,5,False,450.4,57716.0,0.848,Madurai -> Coimbatore -> Kochi -> Thiruvananthapuram -> Kochi -> Bangalore,machinery,7.9,1
49,-43.16,5,False,108.1,50110.0,1.693,Bhubaneswar -> Kolkata -> Ranchi -> Patna -> Varanasi -> Ranchi,electronics,8.0,1
50,-61.28,4,False,137.6,45052.0,0.774,Kochi -> Thiruvananthapuram -> Kochi -> Bangalore -> Pune,perishables,8.2,1
51,40.01,4,True,182.6,67262.0,0.937,Kochi -> Coimbatore -> Bangalore -> Chennai -> Visakhapatnam,pharmaceuticals,8.4,1
52,51.96,3,True,87.5,42252.0,0.032,Jabalpur -> Bhopal -> Delhi -> Kanpur,textiles,8.5,1
53,-37.75,5,False,103.1,73110.0,0.509,Mysore -> Madurai -> Chennai -> Hyderabad -> Bangalore -> Mysore,machinery,8.6,1
54,51.1,2,True,55.1,41796.0,0.27,Ranchi -> Bhubaneswar -> Raipur,pharmaceuticals,8.7,1
55,-51.24,5,False,235.2,72668.0,1.086,Patna -> Kolkata -> Bhubaneswar -> Ranchi -> Patna -> Kolkata,electronics,9.1,1
56,-54.32,5,False,364.2,87579.0,0.56,Patna -> Ranchi -> Varanasi -> Patna -> Kolkata -> Bhubaneswar,machinery,9.2,1
57,-64.26,5,False,211.7,90787.0,0.749,Visakhapatnam -> Bhubaneswar -> Kolkata -> Guwahati -> Kolkata -> Patna,electronics,9.4,1
58,-27.0,5,False,97.9,61682.0,0.712,Indore -> Jaipur -> Ahmedabad -> Nashik -> Pune -> Mumbai,machinery,9.6,1
59,-32.79,5,False,59.5,40777.0,1.235,Gwalior -> Agra -> Delhi -> Lucknow -> Kanpur -> Delhi,pharmaceuticals,9.7,1
60,-54.54,5,False,218.4,85671.0,0.273,Visakhapatnam -> Chennai -> Coimbatore -> Madurai -> Mysore -> Mangalore,textiles,9.9,1
61,-63.62,4,False,156.5,40599.0,0.675,Bhubaneswar -> Raipur -> Nagpur -> Jabalpur -> Raipur,perishables,10.1,1
62,-62.29,5,False,437.5,100828.0,1.025,Kochi -> Coimbatore -> Bangalore -> Hyderabad -> Visakhapatnam -> Chennai,machinery,10.3,1
63,-34.18,5,False,112.5,54740.0,0.641,Guwahati -> Kolkata -> Ranchi -> Patna -> Varanasi -> Ranchi,perishables,10.5,1
64,-35.33,5,False,116.8,49034.0,0.89,Madurai -> Coimbatore -> Bangalore -> Chennai -> Madurai -> Mysore,perishables,10.7,1
65,-70.9,3,False,167.8,42930.0,0.757,Visakhapatnam -> Chennai -> Bangalore -> Coimbatore,perishables,10.8,1
66,-26.67,5,False,96.8,52254.0,0.838,Amritsar -> Ludhiana -> Delhi -> Lucknow -> Agra -> Gwalior,electronics,10.9,1
67,-32.43,5,False,107.7,46329.0,0.549,Gwalior -> Agra -> Lucknow -> Delhi -> Chandigarh -> Ludhiana,electronics,11.1,1
68,-35.86,5,False,139.0,56223.0,0.548,Mysore -> Mangalore -> Hubli -> Bangalore -> Chennai -> Coimbatore,fmcg,11.2,1
69,-50.64,5,False,181.7,74708.0,0.459,Bangalore -> Mysore -> Mangalore -> Hubli -> Bangalore -> Chennai,fmcg,11.3,1
70,-42.21,5,False,197.9,60932.0,1.185,Jaipur -> Indore -> Bhopal -> Delhi -> Chandigarh -> Ludhiana,electronics,11.4,1
71,51.82,3,True,87.4,46971.0,0.065,Guwahati -> Kolkata -> Patna -> Lucknow,textiles,11.7,1
72,-66.73,5,False,339.7,74777.0,1.024,Nagpur -> Jabalpur -> Raipur -> Bhubaneswar -> Visakhapatnam -> Chennai,electronics,11.9,1
73,-35.53,5,False,86.7,57558.0,0.273,Nagpur -> Jabalpur -> Raipur -> Nagpur -> Bhopal -> Indore,textiles,12.0,1
74,-28.78,5,False,118.2,54876.0,0.624,Ahmedabad -> Udaipur -> Jodhpur -> Jaipur -> Delhi -> Ludhiana,machinery,12.2,1
75,-37.68,5,False,101.6,40054.0,0.898,Mysore -> Madurai -> Coimbatore -> Kochi -> Thiruvananthapuram -> Kochi,perishables,12.4,1
76,-75.71,5,False,434.0,70252.0,0.398,Patna -> Varanasi -> Ranchi -> Bhubaneswar -> Raipur -> Nagpur,textiles,12.5,1
77,-39.58,5,False,125.8,63463.0,0.191,Ahmedabad -> Jaipur -> Delhi -> Bhopal -> Indore -> Ahmedabad,textiles,12.7,1
78,-62.46,3,False,247.0,59365.0,1.184,Guwahati -> Kolkata -> Patna -> Varanasi,pharmaceuticals,12.8,1
79,-45.85,5,False,131.3,79857.0,0.657,Ranchi -> Patna -> Kolkata -> Guwahati -> Kolkata -> Bhubaneswar,pharmaceuticals,13.0,1
80,-61.38,5,False,192.9,63632.0,0.365,Varanasi -> Patna -> Ranchi -> Bhubaneswar -> Visakhapatnam -> Chennai,textiles,13.1,1
81,45.43,4,True,182.6,69360.0,0.473,Madurai -> Chennai -> Visakhapatnam -> Bhubaneswar -> Raipur,machinery,13.2,1
82,-78.83,4,False,336.9,52395.0,2.243,Vadodara -> Surat -> Rajkot -> Ahmedabad -> Nashik,pharmaceuticals,13.4,1
83,-51.97,4,False,144.4,41705.0,0.544,Jaipur -> Ahmedabad -> Vadodara -> Surat -> Mumbai,perishables,13.5,1
84,-40.88,5,False,137.4,65748.0,0.327,Ranchi -> Bhubaneswar -> Visakhapatnam -> Chennai -> Coimbatore -> Bangalore,fmcg,13.6,1
85,-25.43,5,False,78.9,74881.0,0.57,Bhubaneswar -> Ranchi -> Kolkata -> Bhubaneswar -> Raipur -> Nagpur,pharmaceuticals,13.8,1
86,-39.65,5,False,33.0,24368.0,1.251,Delhi -> Chandigarh -> Ludhiana -> Amritsar -> Ludhiana -> Chandigarh,electronics,13.9,1
87,-38.36,5,False,162.6,45786.0,1.462,Madurai -> Mysore -> Mangalore -> Hubli -> Bangalore -> Mysore,pharmaceuticals,14.1,1
88,25.46,5,True,116.4,49809.0,0.547,Nagpur -> Bhopal -> Gwalior -> Agra -> Lucknow -> Delhi,perishables,14.2,1
89,-22.82,5,False,147.8,94506.0,0.407,Guwahati -> Kolkata -> Patna -> Lucknow -> Delhi -> Bhopal,electronics,14.4,1
90,-44.06,5,False,70.8,53111.0,0.774,Rajkot -> Surat -> Mumbai -> Ahmedabad -> Rajkot -> Surat,pharmaceuticals,14.5,1
91,-35.67,5,False,45.6,27315.0,0.586,Chandigarh -> Delhi -> Ludhiana -> Amritsar -> Ludhiana -> Chandigarh,electronics,14.7,1
92,-66.03,5,False,126.5,57502.0,0.473,Jodhpur -> Jaipur -> Indore -> Bhopal -> Nagpur -> Jabalpur,perishables,15.2,1
93,-36.57,5,False,93.0,56785.0,0.522,Ahmedabad -> Indore -> Udaipur -> Jodhpur -> Jaipur -> Indore,perishables,15.9,1
94,-24.31,5,False,70.1,68885.0,0.463,Patna -> Lucknow -> Delhi -> Agra -> Gwalior -> Bhopal,machinery,16.4,1
95,-27.62,5,False,198.9,81097.0,0.586,Madurai -> Chennai -> Hyderabad -> Nagpur -> Mumbai -> Pune,machinery,17.2,1
96,-42.37,5,False,252.3,66254.0,0.304,Bhopal -> Indore -> Udaipur -> Ahmedabad -> Mumbai -> Nagpur,textiles,17.7,1
97,-64.07,5,False,205.9,77278.0,1.065,Kolkata -> Guwahati -> Kolkata -> Ranchi -> Bhubaneswar -> Kolkata,pharmaceuticals,18.3,1
98,-49.35,5,False,169.0,76713.0,0.297,Varanasi -> Ranchi -> Bhubaneswar -> Visakhapatnam -> Chennai -> Madurai,textiles,18.9,1
99,-49.52,5,False,106.2,63216.0,0.771,Visakhapatnam -> Bhubaneswar -> Ranchi -> Varanasi -> Kanpur -> Lucknow,perishables,19.4,1
100,-30.12,5,False,172.6,68376.0,1.482,Nagpur -> Raipur -> Bhubaneswar -> Ranchi -> Varanasi -> Kanpur,pharmaceuticals,19.9,1
101,-60.19,5,False,428.6,64784.0,0.774,Madurai -> Mysore -> Bangalore -> Kochi -> Coimbatore -> Bangalore,machinery,23.4,1
102,-36.29,5,False,94.1,36667.0,1.559,Hubli -> Mangalore -> Mysore -> Bangalore -> Coimbatore -> Madurai,pharmaceuticals,23.8,1
103,-39.22,5,False,127.2,39128.0,0.643,Bhopal -> Gwalior -> Agra -> Lucknow -> Kanpur -> Delhi,fmcg,24.3,1
104,-46.18,5,False,137.8,73286.0,0.416,Visakhapatnam -> Bhubaneswar -> Kolkata -> Ranchi -> Bhubaneswar -> Visakhapatnam,electronics,24.8,1
105,-42.06,5,False,140.0,90847.0,0.676,Delhi -> Bhopal -> Jabalpur -> Raipur -> Bhubaneswar -> Visakhapatnam,machinery,25.2,1
106,45.17,1,True,84.8,9844.0,0.108,Hubli -> Mangalore,fmcg,25.3,1
107,-36.23,5,False,48.0,33946.0,0.825,Ludhiana -> Chandigarh -> Delhi -> Ludhiana -> Chandigarh -> Delhi,pharmaceuticals,25.8,1
108,-80.3,4,False,272.3,62002.0,0.941,Raipur -> Bhubaneswar -> Kolkata -> Guwahati -> Kolkata,pharmaceuticals,26.2,1
109,-51.19,5,False,378.7,105134.0,0.325,Kolkata -> Guwahati -> Kolkata -> Bhubaneswar -> Visakhapatnam -> Hyderabad,textiles,26.9,1
110,-19.92,5,False,80.8,46547.0,0.884,Varanasi -> Kanpur -> Lucknow -> Delhi -> Agra -> Gwalior,perishables,1164.0,1
111,-46.21,5,False,220.0,59782.0,1.102,Indore -> Bhopal -> Delhi -> Ludhiana -> Amritsar -> Ludhiana,pharmaceuticals,1164.6,1
112,-48.62,5,False,111.3,45202.0,0.444,Patna -> Ranchi -> Varanasi -> Patna -> Ranchi -> Varanasi,perishables,1165.1,1
113,-53.52,5,False,256.5,63206.0,1.951,Coimbatore -> Chennai -> Bangalore -> Kochi -> Thiruvananthapuram -> Kochi,electronics,1165.5,1
114,-40.14,5,False,126.5,38823.0,2.658,Kochi -> Thiruvananthapuram -> Kochi -> Coimbatore -> Madurai -> Mysore,pharmaceuticals,1166.0,1
115,-50.66,5,False,233.5,74682.0,0.14,Ahmedabad -> Jaipur -> Jodhpur -> Udaipur -> Indore -> Ahmedabad,textiles,1166.5,1
116,-36.02,5,False,50.2,29324.0,0.233,Delhi -> Chandigarh -> Ludhiana -> Amritsar -> Ludhiana -> Delhi,fmcg,1166.9,1
117,-32.13,5,False,100.9,42037.0,1.563,Chandigarh -> Delhi -> Agra -> Kanpur -> Lucknow -> Patna,pharmaceuticals,1167.4,1
118,-28.41,5,False,118.6,43666.0,0.475,Kanpur -> Delhi -> Agra -> Gwalior -> Bhopal -> Nagpur,fmcg,1167.9,1
119,48.14,3,True,129.0,26848.0,0.304,Madurai -> Mysore -> Mangalore -> Hubli,textiles,1168.3,1
120,-31.88,5,False,96.6,67637.0,0.382,Jodhpur -> Jaipur -> Ahmedabad -> Nashik -> Mumbai -> Ahmedabad,machinery,1168.8,1
121,-39.21,5,False,165.2,76909.0,0.75,Nagpur -> Bhopal -> Delhi -> Jaipur -> Indore -> Udaipur,electronics,1169.4,1
122,-68.78,5,False,349.7,117972.0,0.554,Bangalore -> Hyderabad -> Chennai -> Visakhapatnam -> Hyderabad -> Chennai,machinery,1169.9,1
123,-37.05,5,False,95.4,54054.0,1.77,Coimbatore -> Kochi -> Thiruvananthapuram -> Kochi -> Bangalore -> Hubli,electronics,1170.4,1
124,-51.72,5,False,142.6,77746.0,0.255,Kolkata -> Bhubaneswar -> Visakhapatnam -> Chennai -> Madurai -> Coimbatore,textiles,1170.8,1
125,-56.1,5,False,225.9,69822.0,0.891,Patna -> Ranchi -> Kolkata -> Guwahati -> Kolkata -> Patna,pharmaceuticals,1171.3,1
126,-35.74,5,False,90.2,43757.0,0.803,Kochi -> Thiruvananthapuram -> Kochi -> Coimbatore -> Madurai -> Mysore,machinery,1171.8,1
127,50.31,2,True,20.9,11286.0,0.525,Pune -> Nashik -> Mumbai,electronics,1172.0,1
128,50.21,2,True,60.5,54718.0,0.189,Jabalpur -> Nagpur -> Mumbai,pharmaceuticals,1172.3,1
129,-44.09,5,False,110.8,89176.0,0.656,Chennai -> Bangalore -> Hyderabad -> Chennai -> Madurai -> Coimbatore,machinery,1172.9,1
130,-45.88,5,False,286.5,65170.0,0.546,Amritsar -> Ludhiana -> Chandigarh -> Delhi -> Lucknow -> Patna,machinery,1173.5,1
131,-27.64,5,False,158.0,57421.0,0.245,Agra -> Gwalior -> Bhopal -> Delhi -> Jaipur -> Indore,textiles,1174.1,1
132,-66.24,5,False,130.0,48935.0,0.488,Chandigarh -> Delhi -> Lucknow -> Agra -> Gwalior -> Bhopal,perishables,1174.6,1
133,-79.37,4,False,187.5,72685.0,1.207,Nashik -> Ahmedabad -> Indore -> Jaipur -> Ahmedabad,perishables,1175.0,1
134,-59.16,3,False,128.8,47283.0,0.753,Hubli -> Bangalore -> Coimbatore -> Chennai,perishables,1175.3,1
135,-41.58,5,False,147.0,54197.0,0.514,Coimbatore -> Kochi -> Bangalore -> Hubli -> Mangalore -> Mysore,fmcg,1175.8,1
136,-53.38,5,False,300.3,97062.0,0.882,Ranchi -> Patna -> Kolkata -> Guwahati -> Kolkata -> Bhubaneswar,machinery,1176.2,1
137,-28.83,5,False,69.6,43636.0,1.116,Indore -> Udaipur -> Ahmedabad -> Mumbai -> Pune -> Nashik,electronics,1176.6,1
138,-23.55,5,False,114.3,45723.0,1.51,Patna -> Ranchi -> Varanasi -> Kanpur -> Agra -> Delhi,pharmaceuticals,1177.1,1
139,-22.42,5,False,154.3,50936.0,0.939,Udaipur -> Indore -> Jaipur -> Delhi -> Lucknow -> Kanpur,electronics,1177.6,1
140,-80.37,5,False,429.9,49422.0,1.8,Kolkata -> Patna -> Lucknow -> Agra -> Kanpur -> Lucknow,electronics,1178.1,1
141,53.04,1,True,6.6,9659.0,0.02,Jabalpur -> Nagpur,machinery,1178.2,1
142,-30.19,5,False,42.1,25542.0,0.428,Chandigarh -> Ludhiana -> Amritsar -> Ludhiana -> Chandigarh -> Delhi,machinery,1178.8,1
143,-27.13,5,False,100.5,57008.0,0.722,Visakhapatnam -> Bhubaneswar -> Raipur -> Jabalpur -> Bhopal -> Nagpur,pharmaceuticals,1179.3,1
144,54.98,3,True,14.0,19362.0,0.09,Chandigarh -> Ludhiana -> Delhi -> Agra,perishables,1179.5,1
145,-68.19,3,False,121.6,46447.0,0.757,Mumbai -> Nashik -> Ahmedabad -> Jaipur,perishables,1179.8,1
146,-48.59,5,False,149.4,94091.0,1.647,Bangalore -> Kochi -> Thiruvananthapuram -> Kochi -> Bangalore -> Pune,pharmaceuticals,1180.3,1
147,-39.89,5,False,79.7,57897.0,0.366,Agra -> Kanpur -> Varanasi -> Patna -> Ranchi -> Kolkata,machinery,1180.7,1
148,-43.11,5,False,103.1,53833.0,1.012,Chennai -> Bangalore -> Kochi -> Thiruvananthapuram -> Kochi -> Bangalore,perishables,1181.1,1
149,-25.16,5,False,81.2,44594.0,1.406,Jaipur -> Indore -> Bhopal -> Gwalior -> Agra -> Kanpur,electronics,1181.5,1
150,-39.49,5,False,173.0,68471.0,0.271,Patna -> Varanasi -> Ranchi -> Kolkata -> Guwahati -> Kolkata,textiles,1182.0,1
151,-41.79,5,False,150.0,54170.0,0.341,Bhopal -> Gwalior -> Agra -> Kanpur -> Lucknow -> Delhi,fmcg,1182.5,1
152,-78.27,5,False,130.0,60440.0,0.526,Indore -> Jaipur -> Ahmedabad -> Indore -> Bhopal -> Jabalpur,perishables,1183.0,1
153,-72.73,5,False,132.1,63964.0,0.73,Varanasi -> Kanpur -> Delhi -> Jaipur -> Ahmedabad -> Mumbai,perishables,1183.4,1
154,-13.66,5,False,73.2,37523.0,0.416,Ranchi -> Patna -> Lucknow -> Kanpur -> Agra -> Gwalior,pharmaceuticals,1184.0,1
155,-44.34,5,False,356.9,112121.0,0.569,Vadodara -> Surat -> Mumbai -> Nagpur -> Bhopal -> Delhi,machinery,1184.5,1
156,-22.58,5,False,102.3,48011.0,0.49,Surat -> Rajkot -> Ahmedabad -> Indore -> Udaipur -> Jodhpur,perishables,1185.1,1
157,-43.61,5,False,110.4,78656.0,0.424,Mumbai -> Ahmedabad -> Udaipur -> Jodhpur -> Jaipur -> Ahmedabad,machinery,1185.6,1
158,-46.99,5,False,195.5,73962.0,0.455,Pune -> Mumbai -> Ahmedabad -> Udaipur -> Indore -> Ahmedabad,fmcg,1186.1,1
159,-53.45,3,False,123.2,27816.0,1.073,Mangalore -> Mysore -> Madurai -> Coimbatore,perishables,1186.4,1
160,-36.57,5,False,52.3,33840.0,0.644,Jodhpur -> Jaipur -> Delhi -> Chandigarh -> Ludhiana -> Amritsar,electronics,1187.0,1
161,-24.7,5,False,82.2,45042.0,0.243,Jodhpur -> Jaipur -> Delhi -> Chandigarh -> Ludhiana -> Delhi,machinery,1187.6,1
162,-39.22,5,False,263.9,68918.0,1.54,Mysore -> Bangalore -> Pune -> Mumbai -> Nagpur -> Raipur,electronics,1188.1,1
163,-34.71,5,False,128.6,48391.0,0.796,Nagpur -> Raipur -> Jabalpur -> Bhopal -> Gwalior -> Agra,machinery,1188.7,1
164,-23.21,5,False,157.5,58366.0,1.421,Guwahati -> Kolkata -> Bhubaneswar -> Raipur -> Jabalpur -> Nagpur,electronics,1189.1,1
165,-31.04,5,False,185.8,64360.0,1.058,Ludhiana -> Chandigarh -> Delhi -> Jaipur -> Indore -> Ahmedabad,electronics,1189.5,1
166,-45.84,5,False,135.4,61175.0,0.932,Delhi -> Agra -> Lucknow -> Delhi -> Ludhiana -> Chandigarh,pharmaceuticals,1189.9,1
167,-50.95,5,False,177.6,69850.0,1.873,Bhubaneswar -> Kolkata -> Ranchi -> Varanasi -> Patna -> Ranchi,pharmaceuticals,1190.3,1
168,-38.58,5,False,164.7,62399.0,0.479,Nagpur -> Bhopal -> Jabalpur -> Raipur -> Bhubaneswar -> Kolkata,fmcg,1190.7,1
169,-21.83,5,False,146.0,70785.0,0.215,Mysore -> Mangalore -> Hubli -> Bangalore -> Pune -> Mumbai,textiles,1191.2,1
170,-46.39,5,False,143.1,62292.0,0.414,Bhubaneswar -> Ranchi -> Patna -> Varanasi -> Ranchi -> Kolkata,textiles,1191.7,1
171,-25.8,5,False,90.3,50615.0,0.486,Jodhpur -> Udaipur -> Indore -> Ahmedabad -> Nashik -> Mumbai,machinery,1192.2,1
172,-38.27,5,False,165.4,48619.0,0.545,Surat -> Mumbai -> Ahmedabad -> Nashik -> Pune -> Mumbai,textiles,1192.6,1
173,-51.73,5,False,432.9,107763.0,0.426,Mysore -> Madurai -> Chennai -> Hyderabad -> Nagpur -> Mumbai,textiles,1193.0,1
174,-44.32,5,False,168.7,60214.0,1.277,Kanpur -> Agra -> Delhi -> Kanpur -> Lucknow -> Delhi,electronics,1193.4,1
175,-64.09,5,False,140.1,61439.0,1.305,Mysore -> Bangalore -> Pune -> Nashik -> Mumbai -> Nagpur,perishables,1193.8,1
176,-46.94,5,False,194.3,67123.0,0.98,Ahmedabad -> Jaipur -> Indore -> Bhopal -> Delhi -> Agra,electronics,1194.2,1
177,-31.55,5,False,187.9,68504.0,0.751,Agra -> Kanpur -> Lucknow -> Patna -> Varanasi -> Ranchi,pharmaceuticals,1194.6,1
178,52.42,1,True,13.5,5681.0,0.126,Kochi -> Thiruvananthapuram,electronics,1194.7,1
179,-39.62,5,False,174.6,41517.0,1.618,Mangalore -> Mysore -> Madurai -> Coimbatore -> Kochi -> Thiruvananthapuram,pharmaceuticals,1195.2,1
180,-24.25,5,False,160.3,82306.0,1.499,Guwahati -> Kolkata -> Ranchi -> Varanasi -> Patna -> Lucknow,pharmaceuticals,1195.6,1
181,-29.58,5,False,169.9,77630.0,0.514,Thiruvananthapuram -> Kochi -> Bangalore -> Chennai -> Visakhapatnam -> Bhubaneswar,machinery,1196.0,1
182,-48.98,2,False,133.7,39865.0,0.379,Bhubaneswar -> Raipur -> Nagpur,perishables,1196.2,1
183,-41.46,5,False,342.0,43559.0,1.913,Surat -> Rajkot -> Ahmedabad -> Udaipur -> Jodhpur -> Jaipur,electronics,1196.6,1
184,-54.35,5,False,171.2,71215.0,0.189,Bhubaneswar -> Ranchi -> Kolkata -> Guwahati -> Kolkata -> Patna,textiles,1197.0,1
185,-23.77,5,False,72.4,37659.0,0.805,Jodhpur -> Jaipur -> Delhi -> Agra -> Gwalior -> Bhopal,electronics,1197.4,1
186,-13.24,5,False,71.5,35322.0,0.064,Amritsar -> Ludhiana -> Delhi -> Agra -> Gwalior -> Bhopal,textiles,1197.8,1
187,-25.46,5,False,87.4,54873.0,0.149,Lucknow -> Delhi -> Chandigarh -> Ludhiana -> Delhi -> Jaipur,textiles,1198.2,1
